飞周兄弟 | 还袭击 | Racism | hate [END]
她 | 当一定期间内的投资回报率低于一定值直接净身出户 | Sexism | non-hate [END]
成都群众 | 威武啊 | Region | non-hate [END]
他们 | 我不仅嘲笑他们，还嘲笑那些不嘲笑他们的人 | non-hate | non-hate [END]
jatoo | 是多功能的 | non-hate | non-hate [END]
NULL | 反对彩礼 | non-hate | non-hate [END]
NULL | 删除 | others | non-hate [END]
腐癌 | 你们异性恋女生 | LGBTQ | hate [END]
NULL | 你有支持的权利我就有反对的权利 | others | non-hate [END]
北上广深这四个一线 | 他还真不地域歧视，他们是所有外地的都觉得没他们好 | Region | non-hate [END]
NULL | 只要跟黑男换国籍就行了 | others | non-hate [END]
NULL | 耳听为虚，眼见为实！！！ | non-hate | non-hate [END]
沈阳大连 | 发展落后 | Region | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
上海外来人口 | 没来由的优越感 | Region | hate [END]
NULL | NULL | non-hate | non-hate [END]
徐州 | 男的又输得一塌糊涂 | non-hate | non-hate [END]
女拳 | 泛滥了 | Sexism | hate [END]
对待黑蛆直接清空弹夹完事 | NULL | Racism | hate [END]
上海人 | 是苏南人的种而不是苏北人的 | Region | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 无风不起浪 | non-hate | non-hate [END]
作为河南人 | 地域黑是西方资本控制的国内某些媒体 | non-hate | non-hate [END]
NULL | 和我doi | non-hate | non-hate [END]
黑黄混血 | 觉得恶心 | non-hate | non-hate [END]
上海人 | 被外来务工人员黑的严重 | Region | hate [END]
金庸大师 | 诚不我欺啊 | non-hate | non-hate [END]
教会 | 藏污纳垢恶心死你 | others | hate [END]
东北人 | 对家乡文化不太自信 | non-hate | non-hate [END]
中非友谊 | 真的很“好” | non-hate | non-hate [END]
蛮 | 少数民族 | others | non-hate [END]
NULL | 不愿小鸡守活寡 | others | non-hate [END]
小管家 | 对于...来说，是没有匿名的 | non-hate | non-hate [END]
北方人 | （一般北方人、辽宁、黑龙江） | Region | non-hate [END]
小仙女 | 中国男人 | Sexism | hate [END]
抖音 | 没人看了 | non-hate | non-hate [END]
小鲜肉和网红...同性恋 | 觉得男不男女不女，男性女性化缺少阳刚之气吧 | LGBTQ | hate [END]
NULL | 分清 | others | non-hate [END]
年轻人们 | 可以考虑进中小企业的电子厂 | non-hate | non-hate [END]
NULL | 同性恋不正常是事实 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 去非洲是好的 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
这种人 | 无礼 | others | hate [END]
你 | 踏嘛的是不是觉得你的白叠就应该理所当然的在那 | non-hate | non-hate [END]
NULL | 天天颜文字 | others | non-hate [END]
基佬 | 真艾只属于基佬 | LGBTQ | hate [END]
NULL | 一口气生了三个孩子 | non-hate | non-hate [END]
NULL | 不自重自爱 | others | hate [END]
孕妇 | 生孩子很痛 | non-hate | non-hate [END]
NULL | 选择老婆 | Sexism | hate [END]
跑反同群里面开盒 | 真的是狗啊 | LGBTQ | hate [END]
NULL | 反串黑是吧憤憤憤 | others | hate [END]
NULL | 逻辑高手随便打俩字就是悖论 | non-hate | non-hate [END]
女的 | 啊，那没事了 | Sexism | hate [END]
你 | 应该去放生吧 | non-hate | non-hate [END]
上海人 | 已经躺平了 | non-hate | non-hate [END]
长江以北 | 在一些缺乏地理概念的人眼里...都是东北 | Region | non-hate [END]
男的 | 多事 | non-hate | non-hate [END]
核酸检测的挂号处那个男的 | 说话语气巨差无比 | non-hate | non-hate [END]
NULL | 男的也不分享 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
北方 | 女人不能上桌吃饭，封建落后 | Region | non-hate [SEP] 南方 | 女人不能上龙舟，你要尊重当地风俗 | Region | non-hate [END]
NULL | 优越感那都是几十年前的事了 | others | non-hate [END]
NULL | 成替身了？ | others | non-hate [END]
白男娶黄女 | 炼铜七层是猎奇 | Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 莫明就磕cp的其实是腐女 | LGBTQ | hate [END]
NULL | 网上说他是上海的 | others | non-hate [END]
女方婚前支付五年个人收入作为彩礼 | 不会珍惜婚姻 | Sexism | hate [END]
NULL | 什么时候异性恋还需要别人认可了？ | others | non-hate [END]
NULL | 努力大姐还没死啊 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 有点东西 | others | non-hate [END]
NULL | 说得很对 | non-hate | non-hate [END]
上海 | 排斥江淮地区 | Region | hate [END]
NULL | 生孩子比拉屎容易 | non-hate | non-hate [END]
交往过黑人的女孩 | 我也是一样的 ，哪怕在娶个二婚女，都不原意娶 | Racism | hate [END]
老子 | 种族主义者 | Racism | hate [END]
NULL | 国女 | others | non-hate [END]
NULL | 新时代独立女性 | non-hate | non-hate [END]
中国eg | 不允许中国男生分头突围了 | Sexism | hate [END]
NULL | 接盘 | others | non-hate [END]
房子 | 现在的房子质量20年后女人还能看得上吗 | non-hate | non-hate [END]
国内黑娃 | 留在国内 | Racism | hate [END]
NULL | 在化粪池里面找一条干净的蛆 | non-hate | non-hate [END]
嗓门大 | 广东老太太 | non-hate | non-hate [END]
女性 | 对家族很难有归属感 | Sexism | non-hate [END]
安徽人 | 我对...只有好感 | Region | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
辽足辽篮球迷 | 干的没素质事好像更多 | Region | hate [END]
人造子宫 | 是为了女性不受十月怀胎，骨肉分离之苦 | Sexism | non-hate [END]
男生 | 脑子里都是那点破事儿的 | Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
🐶 | 本来就是骗婚的人品有问题的人 | others | hate [END]
广西 | 不也被黑得很惨吗 | Region | non-hate [END]
跪虫族 | 没有赢可能性 | others | hate [END]
NULL | 你们以为自己是谁 | non-hate | non-hate [END]
NULL | 生理上而不是理性 | non-hate | non-hate [END]
东北抗战 | 付出最多 | non-hate | non-hate [END]
NULL | 厕所里畒勾叫的，还没路边蝲蝲蛄叫的好听 | others | non-hate [END]
安徽 | 长三角现在...口碑比以前好多了 | Region | non-hate [END]
NULL | 恶人自有恶人磨 | others | non-hate [END]
NULL | 被国女逼 | others | hate [END]
基佬 | 同类相食的怪物 | LGBTQ | hate [END]
混血儿丑八怪 | 多了去了 | non-hate | non-hate [END]
上海人 | 装小白兔 | others | non-hate [END]
上海 | 排外歧视很严重 | others | hate [END]
这相机 | 不错啊，对焦准，宽容度高 | non-hate | non-hate [END]
直男 | 不够敏感 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
那女的 | 作态还非常低贱，太丢人了 | Sexism | hate [END]
非洲人 | 不反对她们找黑人 | others | non-hate [END]
国人 | 能忍 | non-hate | non-hate [END]
河南人 | 中国每个省份都有 | non-hate | non-hate [END]
NULL | 给你揉揉 | non-hate | non-hate [END]
狗 | 不会抱黑人 | non-hate | non-hate [END]
它们 | 顶上去，让...多多发电 | non-hate | non-hate [END]
NULL | 过男不行，基因不行，所以说过男都是下头男！ | Sexism | hate [END]
NULL | 有智慧的人全是男性 | others | hate [END]
商丘 | 被黑的最多 | Region | hate [END]
杨笠 | 她把大部分小仙女心声说了出来 | non-hate | non-hate [END]
人形畜狌 | 只有本能 | non-hate | non-hate [END]
NULL | 河南人 | non-hate | non-hate [END]
NULL | 非洲黑人或美洲黑人使用来奸淫中国女人 | Sexism | hate [END]
黑人 | 五千年祖先都是灵长类动物 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 又是黑龙江出的事啊 | Region | hate [END]
乐队 | 黑人擅长音乐 | others | non-hate [END]
你们女拳 | 就出来反抗 | Sexism | non-hate [END]
异性恋 | 不好 | non-hate | non-hate [END]
中国有你这样的 | 真是中国的不幸 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
这种女人 | 你们公司就不该录用 | Sexism | hate [END]
公开的外人评论 | 可谓是最公开公正了 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
黑人 | 物种歧视 | Racism | hate [END]
NULL | 臭亩钩聚一起 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 我是河南的回族 | others | non-hate [END]
女的基本上没国家概念 | 基本上没国家概念 | Sexism | non-hate [END]
北京人 | 对上海人很复杂的情绪 | Region | non-hate [END]
这位警官 | 是尽职尽责的人 | non-hate | non-hate [END]
铌铬 | 不要拿这些凤毛麟角的人物来代替99.99%的 | Racism | hate [END]
【NULL】 | 捏个光头黑人 | non-hate | non-hate [END]
NULL | 不介绍社会关系 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
人类的叛徒 | 人类历史的先祖们早就有预料今日这些 | non-hate | non-hate [END]
NULL | 一边罵街一边yy | others | non-hate [END]
男人 | 不婚 | Sexism | non-hate [END]
这狗 | 知道那些小狗是它的孩子吗？ | non-hate | non-hate [END]
陕西人 | 真的不爱出门打工 | non-hate | non-hate [END]
NULL | 以后亲子鉴定希望跟验孕棒一样普及 | others | non-hate [END]
台湾 | 不光该骂，简直是该打！ | Region | non-hate [END]
脸书 | 争论黑人是否为灵长类 | non-hate | non-hate [END]
武侠 | 火那时候全是龟男道德观 | non-hate | non-hate [END]
湖南 | 由于答主口音有问题逃过一劫 | Region | non-hate [END]
外籍留学生 | ZF2010年因为政治正确取消...艾滋病强制筛查 | Racism | non-hate [END]
NULL | 你在呼唤 | others | hate [END]
NULL | 相信科学家 | non-hate | non-hate [END]
NULL | 女师也不少 | others | non-hate [END]
南方人 | 是不是分不清北方口音啊 | Region | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 我在，我每天都在关注都看的！ | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
他们 | 会很巧妙的在任何讨论和争执中把自己伪装成一个受害者的形象 | LGBTQ | hate [END]
权利不是无限的 | 可惜她们想不明白 | others | non-hate [END]
女人 | 大局观较差，比较好下手 | Sexism | hate [END]
NULL | NULL | LGBTQ | hate [END]
NULL | 不努力 | non-hate | non-hate [END]
黑人 | 怕死，又笨，遇到战斗先投降 | Racism | hate [END]
底层打工人 | 得利的也就少数上流社会 | non-hate | non-hate [END]
女拳友 | 脑子不好使 | Sexism | hate [END]
NULL | 都挺好的 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
真的碰到这种气死了 | 有些人来上海要来的，来了上海之后骂上海人配不上这个全中国的上海，打压上海文化（比如方言），还因为“上海是全中国的上海”来说本土文化被打压是应该的 | non-hate | non-hate [END]
NULL | 哇哈，终于看到自然选择这几个字了 | non-hate | non-hate [END]
NULL | 加爆杀 | Sexism | hate [END]
南京 | 环境方面是不行 | Region | non-hate [END]
NULL | 卖的是小黑奴 | Racism | hate [END]
用户评论：经典装理客中装不下去了就开始破口大骂了，或许这就是当代小仙女吧🤭 | NULL | others | hate [END]
这种手术 | 正规大医院一般不做的 | non-hate | non-hate [END]
NULL | 我是不支持男女平等 | Sexism | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 不要歧视感冒患者 | non-hate | non-hate [END]
NULL | 自己不控制自己，还怕别人传病 | others | hate [END]
NULL | 你的观点是不对的 | LGBTQ | non-hate [END]
恶心！滚去非洲，别把串串留在中国 | NULL | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
西方白人 | 比黑人智商更高 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 我不是男的 | LGBTQ | non-hate [END]
NULL | 陈述事实 | non-hate | non-hate [END]
本地人 | 不准娶外地人为妻 | Sexism | hate [END]
NULL | 山东 | Region | hate [END]
娶 | 不友善的是 | Sexism | non-hate [END]
上海好南京好多人 | 都歧视安徽人 | Region | non-hate [END]
感觉现在女性的择偶标准都是“三无四有”了啊 | 三无四有 | Sexism | non-hate [END]
她 | 直接跟老师反应，说她乱吠影响你听课了 | non-hate | non-hate [END]
NULL | 引流捏 | others | hate [END]
NULL | 传统地域歧视地区 | non-hate | non-hate [END]
上海 | 歧视外地人是普遍存在 | Region | non-hate [END]
NULL | 关键词 | non-hate | non-hate [END]
NULL | 讲个笑话 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
北方 | 都是人上人 | Region | non-hate [END]
非洲引进的“高材生” | NULL | others | non-hate [END]
"尊重女性" | 不尊重女性 | non-hate | non-hate [END]
北欧 | 在性少数上做得相对比米国较好 | LGBTQ | non-hate [END]
东北人 | 顶着 | non-hate | non-hate [END]
歧视黑人 | 正确吗？非常正确 | Racism | hate [END]
NULL | 无法回非洲 | others | hate [END]
NULL | 中国男人媚外世界第一 | non-hate | non-hate [END]
NULL | 说杂交的不如纯种的好，还会弄出很多奇怪的病，智商还会迭代变低 | others | non-hate [END]
嘿蛆族 | 永远都是J生虫 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
荷兰人 | 总说别人祖宗 | non-hate | non-hate [END]
学校 | 把这些洋垃圾招进来，所以也要承担相应的后果！ | Racism | hate [END]
女人如果嫁到外国人 | 孩子不能在中国读公立学校只能在外国人的私人学校读书 | Sexism | hate [END]
F省 | 打错了，...应该读作H省 | Region | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 有钱哪里的妹子都喜欢你 | others | non-hate [END]
塔利班 | 人家...有飞机大炮 | non-hate | non-hate [END]
NULL | 傻卵劣信女 | others | hate [END]
天王老子 | 来喷我吧 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 那是嫉妒，不是黑啦 | non-hate | non-hate [END]
东北 | 整个知乎地域黑大v最多的地方 | Region | non-hate [END]
NULL | 去种植园工作 | others | non-hate [END]
河南人 | 都是这样 | non-hate | non-hate [END]
NULL | 外星优质男人 | others | non-hate [END]
一个群体 | 公开发表对...的主观憎恨言论 | non-hate | non-hate [END]
NULL | 建议发孙吧 | others | non-hate [END]
NULL | 早点蛆丝 | others | hate [END]
NULL | 中原文明/华夏文明的起源地 | others | non-hate [END]
NULL | 认为自己是同性恋就可以高人一等 | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
黑人 | 你可以与...结婚，但孩子别生在咱国 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
湖女省的司法机关 | 真不好说钕拳之都 | Region | hate [END]
交往的黑人 | 不管是什么原因...都绝不接受 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
黑人 | 不喜欢...是正常的 | Racism | hate [SEP] 异族 | 非我族类，其心必异 | Racism | hate [END]
剩下的男人 | 你为何不说 | Sexism | non-hate [SEP] 知乎 | 让人讨厌的大概就是男权主义太重吧！ | Sexism | non-hate [END]
同性恋 | 纯粹是同性恋里的败类 | LGBTQ | hate [END]
NULL | 生活很不错 | non-hate | non-hate [END]
中国 | 咋到了...就啥门槛也不要了呢？ | non-hate | non-hate [SEP] 中国男人 | 哪来的...就很负责？ | Sexism | non-hate [END]
陕西 | 的专业黑子 | Region | non-hate [END]
NULL | 让非处女坦白性史 | others | non-hate [END]
NULL | 人家就说不支持 | non-hate | non-hate [END]
吉菜 | 完全销声匿迹了 | non-hate | non-hate [END]
NULL | 支持小氙钕 | others | non-hate [END]
NULL | 同性恋 | LGBTQ | hate [END]
NULL | 看你是女的好欺负罢了 | Sexism | hate [END]
广东 | 广东人 | Region | hate [END]
山东 | 完美契合 | Region | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
人家 | 独立自主和你有什么关系 | non-hate | non-hate [END]
她们 | 艾滋病率远超失足妇女 | others | hate [END]
NULL | 同性恋先天的？？ | LGBTQ | hate [END]
富人 | 舔的么 | non-hate | non-hate [END]
NULL | 你们倒是一视同仁啊 | others | non-hate [END]
NULL | 不准魔怔人出现在我帖子里 | others | hate [END]
NULL | 学伴 | others | non-hate [END]
他 | 就在胡说八道，挑拨离间那 | non-hate | non-hate [END]
NULL | 本来女人过的就是比我们男人要轻松 | Sexism | non-hate [END]
NULL | 不坏 | others | non-hate [END]
NULL | 你们了解的说说 | non-hate | non-hate [END]
NULL | 智力与反同性恋的偏见之间存在很高的相关性 | LGBTQ | non-hate [END]
NULL | 反黑 | others | hate [END]
NULL | 必死 | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
阎王老子 | 我就是种族内个歧视了 | Racism | hate [END]
黑蛆 | 属于机会生存 | Racism | hate [END]
NULL | 一门心思娶外国女人的男性朋友 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 男的比女的多几千万 | non-hate | non-hate [END]
他们一部分人 | 直球直起来很离谱，很自私 | Region | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
很多男的无感，我老公也是 | 他对同志无感 | non-hate | non-hate [END]
首先说一句，喷神可能大概也许貌似真的有点种族歧视；但我还没说完，第二条就是，我也不可能接受，我支持喷神😆说到这我直接联想到成都吴蒙 | 喷神 | Racism | non-hate [END]
NULL | 上海名声一直就不好 | non-hate | non-hate [END]
黑人 | 比你强多了 | Racism | hate [END]
奥巴马 | 是黑犹混血，并不是真正的黑人 | Racism | non-hate [END]
NULL | 为什么如此骂自己的老爸 | non-hate | non-hate [END]
厦门 | 原罪是因为城市核心区在岛上 | Region | hate [END]
NULL | 你是把出差一夜情当恋爱玩呢？ | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
种族歧视者 | 因种族歧视被白左歧视 | Racism | hate [END]
黑人体味 | 有点作呕 | non-hate | non-hate [END]
同性恋 | 本身是先天得来的东西 | LGBTQ | non-hate [END]
你 | 如此高傲的挑衅全体人民的行为 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
非洲源头奥密克戎变异株Ba.5已传至陕西省西安市 | Ba.5 | others | non-hate [END]
我们云南人 | 可比黑种好看多了🤔 | Racism | non-hate [END]
“女权” | 就是女人没有了束缚后释放本性的模样 | Sexism | hate [END]
NULL | 提供吹吹服务 | others | hate [END]
NULL | 有中秋节吗？ | others | non-hate [END]
NULL | 给集体举报给永久封号 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 谈恋爱不在朋友圈公开女生会介意的吧 | non-hate | non-hate [END]
上海 | 本地人在本地说本地话要被说排外 | non-hate | non-hate [END]
卫辉 | 卫辉官媒黑山东 | non-hate | non-hate [END]
浙江人 | 在全世界被歧视 集体驱逐 | Region | non-hate [END]
生黑孩的女人 | ！！！ | Racism | hate [END]
NULL | 不是真黑，是假黑 | non-hate | non-hate [END]
东北人 | 天天念叨一枪不放丢 | Region | hate [END]
NULL | 建立媚默女的档案库 | others | non-hate [END]
白幼瘦 | 畸形审美 | Sexism | hate [END]
婺源 | 说江西人自吹自擂 | non-hate | non-hate [END]
NULL | 你怎么就不能是男的呢 | others | non-hate [END]
这个酒厂 | 估计没几年了 | non-hate | non-hate [END]
NULL | 无大量贩卖到法国葡萄牙 | others | non-hate [END]
黑人 | 不是中国的一部分 | Racism | non-hate [END]
NULL | 劣信幕刃真下头 | others | hate [END]
亚裔 | 不会反抗，也不团结 | Racism | non-hate [END]
新上海人和老上海人 | 携起手来，共同传承吴语，勿相互攻击 | Region | non-hate [END]
我们河南 | 我觉得还是有人黑 | Region | non-hate [END]
东北人 | 我觉得喜欢黑...是因为...口音太明显了 | Region | non-hate [END]
NULL | 和中国女结婚繁殖混血黑二代 | others | hate [END]
NULL | 官方认证 | others | non-hate [END]
黑人 | 除了特别优秀的黑人，如奥巴马之流 | Racism | hate [END]
艾滋病的传播 | 异性恋可是占主流呢 | non-hate | non-hate [END]
上海 | 笑而不语 | Region | non-hate [END]
你 | 之所以喜欢异性是因为你还没有碰到一个你爱的同性 | LGBTQ | hate [END]
黑人犯罪率极高 | 极高 | Racism | hate [END]
河童 | 别把...的图片放上来 | non-hate | non-hate [END]
NULL | 你去撒哈拉以南待两年就不会说这种话了 | others | non-hate [END]
NULL | 不结婚就不能上族谱 | others | non-hate [END]
妈妈 | 不盲目打拳 | Sexism | non-hate [END]
NULL | 作为男性无法接受这个 | non-hate | non-hate [END]
田园女拳 | 有滥交的自由 | Sexism | hate [END]
大部分女性 | 不都说要求不婚检吗 | Sexism | non-hate [END]
东北人 | 引起对立 | non-hate | non-hate [END]
抖音 | 真的可以 | non-hate | non-hate [END]
楼主 | 你也可以的，多元文明共融 | non-hate | non-hate [END]
娶媳妇没用的关键是大小 | 否会被绿当老实人接盘侠 | Sexism | hate [END]
同性恋 | 讲多放同性恋电影 | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 想找个 | non-hate | non-hate [END]
NULL | 继续努力过自己的好日子！如果黑老美骂老美能把老美搞成非洲，那才是真成功！ | others | non-hate [END]
杭州人 | 你说我们荒漠是因为你吃不起巴拉巴拉😢 | others | non-hate [END]
年轻人 | 看不起老一辈 | non-hate | non-hate [END]
NULL | 又见你上蹿下跳 | others | non-hate [END]
美国黑人并不缺教育资源 | 美国黑人 | non-hate | non-hate [END]
年轻人 | 不排外 | others | non-hate [END]
我 | 也一定排黑的 | Racism | hate [SEP] 异族 | 必不容我 | Racism | hate [END]
新疆人 | 和我一模一样 | Region | hate [END]
三民主义 | 就有民族主义 | non-hate | non-hate [END]
NULL | 若想人不知，除非己莫为 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
黑龙江人 | 狠批唱衰东北 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
这个地方 | 出名 | others | non-hate [END]
撑同弱智 | 我不会选 | LGBTQ | hate [END]
她的水壶 | 按了按钮后功能不明 | non-hate | non-hate [END]
NULL | 现实就是有大量国女愿意倒贴外国人🐶 | others | hate [END]
广西人 | 别跟我们抢了 | Region | non-hate [END]
NULL | 极端是一身艾滋+X病 | others | hate [END]
NULL | 年龄一大把的老男人 | non-hate | non-hate [END]
阿娜 | 想给...上坟捏 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
姆蛆 | 好不容易才找到的 | Sexism | hate [END]
NULL | 啧，现在感觉形式开始严峻了 | non-hate | non-hate [END]
NULL | 吸血虫 | others | hate [END]
他们 | 觉得被歧视说明他们内心就是脆弱而且认为同性恋就是不对的！ | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 看来她们是真的以为男人活得很轻松 | non-hate | non-hate [END]
NULL | 拒绝哥布林和各种超级病毒 | others | hate [END]
男同 | 想结婚，伴郎全自己炮友，结婚前一晚酒店还来一炮 | Sexism | hate [END]
广西人 | 飘过 | others | non-hate [END]
NULL | 不会跪着安排豪华宿舍、美女学伴、高额奖金 | others | non-hate [END]
女司机 | 我看各种车祸事件也怕肇事车主是 | Sexism | non-hate [END]
他们 | 殖民地时代的固有思想还没有改掉 | Racism | non-hate [END]
基佬 | 被碰一下直接发廊 | LGBTQ | hate [END]
东北人 | 说哪儿的都不合适 | Region | hate [END]
NULL | 人可好了 | others | non-hate [END]
蛆 | 畸形 | non-hate | non-hate [END]
NULL | 你凭什么假定他的性别 | LGBTQ | non-hate [END]
NULL | 结婚了你还会被甩 | others | hate [END]
搞地域歧视的 | 总之就是非蠢即坏 | non-hate | non-hate [END]
NULL | 河北 | non-hate | non-hate [END]
NULL | 东北人所作所为 | non-hate | non-hate [END]
咱 | 学学隔壁上海已经佛到自黑了 | Region | non-hate [END]
NULL | 被基佬删了 | LGBTQ | hate [END]
NULL | 这些都是猩猩 | others | hate [END]
NULL | 房子买车 | non-hate | non-hate [END]
黑人 | 对...无感，不是我喜欢的颜 | Racism | non-hate [END]
NULL | 企业不敢招女的 | others | non-hate [END]
男人 | 加强生命安全保护 | non-hate | non-hate [END]
NULL | 美国内战的阴云 | non-hate | non-hate [END]
基佬 | 人面兽心 | LGBTQ | hate [END]
NULL | 无风不起浪 | non-hate | non-hate [END]
我 | 希望自己有独当一面的能力 | non-hate | non-hate [END]
东北 | 以前喜欢地域黑 | non-hate | non-hate [END]
这个吧 | 我相信...吧友能挖出更深层次的答案 | non-hate | non-hate [END]
NULL | 不知道你怎么想的 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
陕西人 | 看不起附近几个省份 | Region | hate [END]
女权 | 被删帖了 | non-hate | non-hate [END]
你 | 还能代表全国？ | non-hate | non-hate [END]
炼铜txl | 不能 | LGBTQ | hate [END]
幕刃 | 珍爱生命远离 | Sexism | hate [END]
NULL | 王心凌多好看 | non-hate | non-hate [END]
女性 | 接受高等教育比例超过男性 | Sexism | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 让男的花钱 | Sexism | non-hate [END]
国家 | 没有义务照顾所有人的意愿 | non-hate | non-hate [END]
NULL | 你们才四波啊，俺们某北是与天下为敌啊 | others | hate [END]
NULL | 我们安徽人被你们黑成啥样啦 | others | non-hate [END]
女权主义者 | 从不忏悔 | non-hate | non-hate [END]
NULL | 异性恋本还是异性恋 | LGBTQ | hate [END]
男拳语录 | 就是个黑大人发明的🤣 | non-hate | non-hate [END]
这人 | 学过历史吗 | non-hate | non-hate [END]
NULL | 看他天天钓鱼 | non-hate | non-hate [END]
她们 | 社死了 | Sexism | non-hate [END]
NULL | 真能处 | others | non-hate [END]
女性 | 在这个世界上除了繁衍能力之外，对文明的推动几乎没有一点贡献 | non-hate | non-hate [END]
一个烂货 | 有老公，有小孩，喝酒抽烟出轨，乱搞男女关系 | Sexism | hate [END]
喃蛮 | 你这个...编的故事挺好的 | non-hate | non-hate [END]
普通大学 | 也这样搞 | others | non-hate [END]
NULL | 我也是去读书的😓 | non-hate | non-hate [END]
NULL | 实锤证明上海被地域黑最严重 | Region | hate [END]
上海市区人 | 歧视市区以外的人 | Region | hate [END]
NULL | 总结：农业大省，人口较多，经济不太发达 | Region | non-hate [END]
NULL | 打弟弟要趁早 | non-hate | non-hate [END]
视频 | 是好视频，有教育意义 | non-hate | non-hate [END]
黑龙江 | 男的不帅还太热衷艺考 | non-hate | non-hate [END]
南方人 | 用他们的方言骂你 你听不懂还以为人家在夸你 | Region | non-hate [END]
有些垃圾 | 真的恶心 | non-hate | non-hate [END]
真正聪明的男人 | 已经留下了种子还不用负责！ | Sexism | non-hate [END]
NULL | 与黑人女性结婚的中国男性 | non-hate | non-hate [END]
黑人 | 现实中女生都多多少少有点歧视黑人 | Sexism | non-hate [END]
中国 | 会出现这样的情况 | non-hate | non-hate [END]
NULL | 不构成仇恨言论 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
中央台 | 一直被北京人和东北人霸占着来黑南方人 | Region | non-hate [END]
非洲黑人 | 如果经历过璀璨的文明的话，不至于落到现在的境地 | Racism | non-hate [END]
这种脑残 | 孝长的坐上宾 | Sexism | hate [END]
NULL | 一眼全是南桐 | others | hate [END]
NULL | 不可以反客为主 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
你爸 | 哪里得罪了你 | non-hate | non-hate [END]
东南 | 南方也分为东南和西南 | Region | non-hate [END]
NULL | 要求政治权力 | others | hate [END]
小红书 | 绝逼是狗汉奸带的 | non-hate | non-hate [END]
春晚 | 喜欢黑南方人娘娘腔 | non-hate | non-hate [END]
物种骑士 | 不是种族骑士 | others | non-hate [END]
NULL | 直的狠 | others | non-hate [END]
死肥猪 | 去死啊 | others | hate [END]
NULL | 给彩礼也不嫁什么诈骗犯 | non-hate | non-hate [END]
它 | 只有大量繁殖才能保证种族延续。世界乞丐，不是吹的 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
他 | 老私信追着我骂 | non-hate | non-hate [END]
NULL | 努力奋斗创造财富 | non-hate | non-hate [END]
我们 | 是文明人 | non-hate | non-hate [END]
NULL | 特别无语 | others | non-hate [END]
NULL | 不愿意 | others | non-hate [END]
NULL | 提高家庭地位 | Sexism | non-hate [END]
NULL | 什么省份的都有 | others | non-hate [END]
黑人 | 不老实 | Racism | hate [END]
