飞周兄弟 | 还不认亲？ | Racism | hate [END]
东北人 | 被河南人睡 不亏 | Region | hate [END]
这种事情 | 对...完全无感 | non-hate | non-hate [END]
它们 | 全球所有世纪传染病传播源头都来自 | Racism | hate [END]
上海 | 全是苏北人好了，不叫上海改叫苏北 | Region | hate [END]
男朋友 | 太暴躁 | non-hate | non-hate [END]
男同性恋 | 尊重？很多...都是在涉世不深时被忽悠甚至被骗的。 | LGBTQ | hate [END]
NULL | 这是事实吧 | non-hate | non-hate [END]
舔黑的人 | 在增多 | Racism | non-hate [SEP] 舔狗 | 也在增多 | non-hate | non-hate [SEP] 国内有些女的 | 快被舔到天上去了 | Sexism | hate [END]
你 | 是女权吧派过来搞事的吧？ | non-hate | non-hate [END]
黑人 | 暴力是基因层面的 | Racism | hate [END]
男的 | 只要敢还一下手，那么后果就不堪设想 | Sexism | non-hate [END]
饭桶 | 皆深柜，不敢直面自己的内心 | LGBTQ | hate [END]
钻戒这个东西 | 不吉利的 | non-hate | non-hate [END]
你 | 女方想隐瞒...也很难知道 | non-hate | non-hate [END]
你 | 这么做有啥好处呢？...给解释一下我不明白 | non-hate | non-hate [END]
你家乡 | 无非就是没上海那么有名而已 | Region | non-hate [END]
地域黑 | 是慣例無可避免 | non-hate | non-hate [END]
你们 | 媚外的才多吧？ | Sexism | non-hate [END]
NULL | 的确如此，只要是事实，我都会承认 | non-hate | non-hate [END]
那些普信的直男 | 说的...，也不算无差别攻击吧 | Sexism | non-hate [END]
女狗 | 给...送温暖 | Sexism | hate [END]
txl | 想让...不去滥交和大量传播艾滋病的话，就需要打破这个“环” | LGBTQ | non-hate [END]
年轻人 | 好优秀 | non-hate | non-hate [END]
他们 | 有的是真恶心🌚 | LGBTQ | hate [SEP] 他们 | 想掰弯你就挑逗你，满嘴xing暗示的跟你聊🤣 | LGBTQ | hate [END]
NULL | 恩！生孩子都不用去医院！ | non-hate | non-hate [END]
河南 | 的分数线简直不能看。。 | Region | non-hate [END]
普通国男 | 跟着沾光 | non-hate | non-hate [END]
贵州人 | 很多工厂不招...是真怕了贵州人了 | Region | hate [END]
找黑人作男朋友的女生 | 真的应该好好调查 | Racism | non-hate [END]
工程师 | 怎么就又毒又累了 | non-hate | non-hate [END]
你 | 有个黑色的玩伴！ | Racism | non-hate [END]
你们那 | 黑安徽江西最严重的也是 | Region | non-hate [END]
女拳 | 成了全女社区 | Sexism | non-hate [END]
她们 | 把...培养成大纱布 | non-hate | non-hate [END]
人类 | 起源于非洲，不是起源于嘿人 | non-hate | non-hate [END]
犹太人 | 祸害全球人类各民族罪恶嘴脸 | others | hate [END]
黑杂碎贱婢表字*** | ！！！！ | Racism | hate [END]
非洲人 | 真的无法苟同😲😲😲 | Racism | hate [SEP] 台湾人 | 打死也不嫁，又穷又老色胚 | Region | hate [SEP] 日本人 | 台湾就学他们的 | non-hate | non-hate [END]
通讯录 | 就是素质感人捏 | LGBTQ | hate [END]
我 | 不是会员，...发不了图片 | non-hate | non-hate [END]
圆圈吧 | 出了名的鸡窝 | others | non-hate [END]
交了黑人 | 基本上所有人都知道了 | Racism | non-hate [END]
你 | 工作单位知道...是同性恋会怎样呢 | LGBTQ | non-hate [END]
福建 | 做的恶 真的绝不比上述被黑的地方少 | Region | non-hate [END]
亚洲人 | av里面...也没有大屌啊 | non-hate | non-hate [END]
性少数者 | 就没几个大脑正常的 | LGBTQ | hate [END]
很多跨性别 | 学到了泼妇的刻薄。以及淫妇的放纵。 | LGBTQ | hate [END]
NULL | 这边风景独好 | non-hate | non-hate [END]
黑人 | 好像有些地方...有50%的比例了 | Racism | non-hate [END]
两个舍友 | 组团黑河南 | Region | non-hate [END]
广大男同胞 | 需要...发声，多搜集一下男性遭到家暴的例子，然后大规模宣传 | Sexism | non-hate [END]
我 | 不支持在当下放弃民族主义 | non-hate | non-hate [END]
我身边 | 即世界😆 | non-hate | non-hate [END]
结婚率 | 血崩 | non-hate | non-hate [END]
我们 | 歧视外地人😆 | Region | non-hate [END]
NULL | 别梦了 事实就是这样 | non-hate | non-hate [END]
火星人 | 是人好吧？ | non-hate | non-hate [END]
她 | 也是个普通人 | non-hate | non-hate [END]
废物龟♂ | 这种就是典型的...了兄弟们 | Sexism | hate [END]
畒🐶 | 乱叫而已 | Sexism | hate [END]
中国男人 | 要求做供养者，还要作为爱情提供者 | Sexism | non-hate [END]
我 | 想暴打你一顿的欲望 | non-hate | non-hate [END]
百度 | 男女3:7，女拳特别多 | Sexism | non-hate [END]
gay | 一般即使看上直男也是想被上 | LGBTQ | non-hate [END]
黑人 | 要在中国呆，就得把皮拔了，染成黄色的 | Racism | hate [END]
外国人上过的 | pc都不能接受 | non-hate | non-hate [END]
我的朋友的话 | 我就会包容啊 | non-hate | non-hate [END]
他们 | 不去...去采摘园真是可惜了 | non-hate | non-hate [END]
大东北 | 现在也不差 | Region | non-hate [END]
东北人 | 彻底麻木 | non-hate | non-hate [END]
NULL | 好人就给你了，祝你早生贵子。 | non-hate | non-hate [END]
埃及文明是黑人创造的 | 我怎么查都没查到 | Racism | non-hate [END]
你跪虫族 | 南非不是发达过家恐怕也只有...会说它曾经不是 | LGBTQ | hate [END]
山东 | 还是好上很多 | Region | non-hate [END]
黑粪蛋 | 脏了衣服 | Racism | hate [END]
这家伙 | 也够倒霉的 | non-hate | non-hate [END]
男男的存在 | 可以接受...，但是不要出来恶心我 | LGBTQ | non-hate [END]
风气 | 就是争当烧鸡，爱浪爱玩 | non-hate | non-hate [END]
你们同性恋的爱 | 是没有结果的 | LGBTQ | hate [END]
女生 | 非要给...强制检查的话，这边建议全国信绿哦亲 | Sexism | hate [END]
广东 | 就根本不熟，都不知道黑啥。。。 | Region | non-hate [END]
女拳男 | 能不能414阿？ | Sexism | hate [END]
理中客 | 就是女拳和舔狗扮的 | Sexism | hate [END]
我们的背叛 | 那为啥你认为不是黑人的背叛而是 | non-hate | non-hate [END]
黑河南的 | 以前...是全国，现在...只有西安人 | Region | non-hate [SEP] 黑西安的 | 是全国人民 | Region | non-hate [END]
度度 | 是这样的，马上就缩了回去怎么不继续表演了 | non-hate | non-hate [END]
嫁给黑人的国女 | 要自觉点，跟男人去国外，更不要把孩子生养在国内 | Racism | hate [END]
“浙江滚出中国” | 你怕是不知道13年的 | Region | hate [END]
NULL | 我记得差评好像要先买游戏玩过后才能。 | non-hate | non-hate [END]
那个吧里 | 我可没忘记，前几年...一堆女〇 | Sexism | non-hate [END]
这人 | 可能这辈子没出过抚顺 | Region | non-hate [END]
我新疆的回族 | 也算被黑惨了 | Region, others | non-hate [END]
引入黑人 | 只会引发黑命贵运动 | Racism | hate [SEP] 犹太人凯乐奇计划 | 就是要中国引入其他种族，制造新的种族，灭绝中华民族、中华文化 | others | hate [END]
他 | 明明黑的是广西好吧？ | Region | non-hate [END]
群满嘴道德仁义的狗 | 正什么歪成什么样子了都是...在搞笑 | non-hate | non-hate [END]
反同性恋的吧主 | 看看能不能等选举时重新投一位 | LGBTQ | non-hate [END]
女拳砂男婴的热搜 | 就往死里压热度 | Sexism | non-hate [END]
NULL | 被骗是普遍的。 | non-hate | non-hate [END]
黑上海的 | 超过了黑北京的😅 | Region | non-hate [END]
河南小朋友 | 玩网游时确实被...骗过 | non-hate | non-hate [END]
排黑 | 过几年...就会蔓延到生活中了 | Racism | non-hate [END]
这个基佬的头像 | 看...就知道这个怪物不敢说不需要孩子想要孩子了 | LGBTQ | hate [END]
基佬 | 会吐口水 | LGBTQ | non-hate [END]
gay | 相比直男，...对女性要友好得多了 | non-hate | non-hate [END]
民主党搞的和平演变路线 | 说白了就是葵花宝典 | non-hate | non-hate [END]
那个图片里对女人的解读 | 基本没什么毛病 | non-hate | non-hate [END]
这些黑醋 | 最喜欢做的事就是伤害别人，干违法乱纪的事 | Racism | hate [END]
你的回答 | 有点棒棒哒( • ̀ω•́ )✧ | non-hate | non-hate [END]
嫁了老外 | 就去他们国家 | non-hate | non-hate [SEP] 嫁老外的这些女人 | 你们老公都保护不了自己的老婆孩子吗，还要蹭娘家的好处？ | Sexism | non-hate [END]
NULL | 继续者之大华人主义 | non-hate | non-hate [END]
国外的现状 | 我们的未来 | non-hate | non-hate [END]
知乎里关于地域的回答 | 是真的不能看，乌烟瘴气的 | non-hate | non-hate [END]
女人 | 求着男人负责 | Sexism | non-hate [END]
已婚女性 | 没有多少个...能够明面上拒绝丈夫的性需求 | Sexism | non-hate [END]
反媚外 | 就是反拳 | non-hate | non-hate [END]
一群站街女 | 看来可以说是免费鸡院 | others | non-hate [END]
我 | 确实歧视有狐臭的人 | others | hate [SEP] 劣质外国人 | 激烈的反对 | Racism | hate [END]
日本 | 想在奥运装圣母 | non-hate | non-hate [END]
黑 | 最大可能是偏袒 | Racism | non-hate [END]
国女 | 干的好事 | non-hate | non-hate [END]
NULL | 不符合东方审美观 | non-hate | non-hate [END]
女权们 | 继续自己的战斗 | Sexism | non-hate [END]
这种男人 | 并不仅仅是自信了，而是骄傲自负 | Sexism | non-hate [END]
韩国人 | 学习...偷东西吗 | non-hate | non-hate [END]
在外的老乡 | 何不问下...这么惹人讨厌😅 | non-hate | non-hate [END]
基佬 | 你📉我好心相劝却被...拉黑 | LGBTQ | hate [END]
霓全价 | 什么时候能被做成刺身 | Sexism | hate [END]
这些支持的人 | 就是在保护作为“人”的最基本权利 | non-hate | non-hate [END]
东北 | 偏见是刻在骨子里的 | Region | non-hate [END]
全球所有国际鬼子虫类及其它们后代虫混它们统一基因的激情犯罪 | 是它们身体内必不可少基因之一 | Racism | hate [END]
外国人 | 犯罪三年以下有期徒刑的不追究 | non-hate | non-hate [END]
这种人 | 怎么就那么想当默的配种母狗，活该 | others | hate [END]
视频 | 从上到下都有一种被害妄想证 | non-hate | non-hate [END]
便宜鸡 | 跟你做完就开始叨叨叨她那些前男友的破事了 | others | non-hate [END]
女性 | 能撑起一片天 | non-hate | non-hate [END]
黄皮肤的 | 就是人上人了 | non-hate | non-hate [END]
你 | 家里没有人吗？ | non-hate | non-hate [END]
对方 | 我感觉我会在乎...的能力 品性 学识 刚好的外貌 | non-hate | non-hate [END]
我 | 又不是没把国内女权的德行放出来 | non-hate | non-hate [END]
我 | 是在反驳楼主啊 | non-hate | non-hate [END]
东北人流出 | 以年轻白领为主😅 | Region | non-hate [END]
NULL | 现在看新闻的也少了 | non-hate | non-hate [END]
新上海人 | 按常住来算，...也算进去吧🤣 | Region | non-hate [END]
结婚 | 到底给男性带来了什么 | Sexism | non-hate [END]
楠拳 | 自己不遵守 | Sexism | hate [END]
你 | 不识字吗？郭南郭朒分不清楚 | non-hate | non-hate [END]
上海 | 有100万日本人？ | non-hate | non-hate [END]
NULL | 我说的是事实 | non-hate | non-hate [END]
正经男人女人 | 一生只和一个做爱怎么会得病⁉ | non-hate | non-hate [END]
女拳師 | 討厭腐女 | non-hate | non-hate [END]
我们这些国楠 | 才是真的惨 | Sexism | non-hate [END]
这母猪 | 看面相就不是个好人 | Sexism | hate [END]
这样的女孩子 | 最好...找了老黑之后跟着他回他的非洲大陆 | Racism | hate [END]
以偏概全的啥b | 太多 | non-hate | non-hate [END]
黑吉辽 | 好像...配单独提名一样🙂 | Region | non-hate [END]
我们湖北 | 也被称呼九头鸟，只会算计人 | Region | non-hate [END]
度娘 | 越来越会玩了 | non-hate | non-hate [END]
广西 | 普遍个子稍微矮了一点 | Region | non-hate [END]
女权们 | 等你拖35岁以后，绝经了，你这辈子也就这样了 | Sexism | hate [END]
咱们 | 是没特点 | non-hate | non-hate [END]
广东 | 是在文化种族等方面被黑 | Region | non-hate [END]
这些人 | 的恋爱观就离谱 | non-hate | non-hate [END]
找巧克力豆当对象的 | 无论男女，...男的绝交，女的有多远离多远 | Racism | hate [SEP] 我 | 就是种族歧视怎么了？ | non-hate | non-hate [END]
她们 | 自作自受 回来让老实人买单？ 你同情... 谁特么同情老实人？ | Sexism | hate [END]
我 | 对于我个人来说，这两种人可能就可以看做一类人，就是我都不愿意去亲近的人 | non-hate | non-hate [END]
黑人、白人 | 有什么区别？ | non-hate | non-hate [END]
直女 | 不能和女性make所以...和女性关系就不好？ | LGBTQ | non-hate [END]
女子 | 维小人与...不可教 | Sexism | hate [END]
新疆人 | 禁止...入内 | Region | hate [END]
NULL | 为什么不打胎 | non-hate | non-hate [END]
孙吧 | 不是一天两天被女权围攻了 | non-hate | non-hate [END]
浙江人 | 我真的非常害怕 | Region | non-hate [END]
一些喜欢同性恋的 | 说同性恋才是真爱，异性恋不是真爱，只为了繁殖 | LGBTQ | hate [END]
你 | 不知羞耻！ | non-hate | non-hate [END]
你们 | 不是...先来碰瓷的？???? | non-hate | non-hate [END]
你自己 | 不切实际的幻想做成的错误 | non-hate | non-hate [END]
NULL | 广州坐了十三年地铁，除了特定几个站有时候能看到一两个，其他时候没再看见👍️ | non-hate | non-hate [END]
少数人 | 倘若...就是祸害国家的蛀虫，有何不可？ | non-hate | non-hate [END]
同狗 | 日常迫害正常人 | LGBTQ | hate [END]
黑人 | 艾滋病携带率高 | Racism | hate [END]
他 | 我们应该统一起来举报...，把...黑点，让他的账号不能使用 | non-hate | non-hate [END]
韦小宝 | 都会被查 | non-hate | non-hate [END]
弗兰长沙人 | 我是 | Region | non-hate [END]
郭朒 | 关键...没有啊😄 | Sexism | hate [END]
你 | 说是就是吧 | non-hate | non-hate [END]
我 | 支持你的看法，我也觉得很脏 | non-hate | non-hate [END]
非洲黑人 | 给中国人改良种族 | Racism | hate [END]
那些媚黑的女人 | 是不会听进去的🙂🙂🙂 | Racism | non-hate [END]
这个上海人 | 这么傲慢 | Region | non-hate [END]
东北人的坏 | 领教过...，我只能呵呵 | Region | non-hate [END]
吃生猪皮的 | 东北云南人😆😆😆 | Region | non-hate [END]
江西 | 就是江西 双标 | Region | non-hate [END]
大男权主义分子 | 我被楼里那个，被我疑问句问破防的...拉黑了 | Sexism | non-hate [END]
男性对女性 | 敌意大？ | Sexism | non-hate [END]
这东西 | 不分男女 | non-hate | non-hate [END]
NULL | 真的很双标 | non-hate | non-hate [END]
这一类自我劣化的异类 | 会造成五胡乱华的后果 | non-hate | non-hate [END]
国际鬼子虫类及其它们后代虫混 | 就是墙头草 | Racism | hate [END]
这种墓垢 | 还是铁鲨鼻 | Sexism | hate [END]
皮肤比较黑的人员 | 选择与它们相反的方向行走就对了！ | Racism | hate [END]
闲得蛋疼的 | 大概率是猪精 | others | hate [END]
鬼母 | 初中都没上过的...牛逼吹的倒是不小 | non-hate | non-hate [END]
幕刃 | 和理客中一样恶心 | Sexism | hate [END]
我 | 一边笑一边把手放在小姨胸上 | non-hate | non-hate [END]
牛头人 | 听说自己女朋友跟别人玩的花还很兴奋 | non-hate | non-hate [END]
这样的直男 | 好少见额，羡慕了 | non-hate | non-hate [END]
NULL | 基佬举报的呗 | non-hate | non-hate [END]
亩刃 | 楼主别理会 | Sexism | hate [END]
他 | 就是个gay。之前在陕西我去医院，看到他了。他当时往hiv科室里面走了 | LGBTQ | hate [END]
总部 | 在抖音 | non-hate | non-hate [END]
以偏概全的言论 | 都是刹比 | non-hate | non-hate [END]
图一这脸 | 有点疯狂原始人的味道 | non-hate | non-hate [END]
一切圣母行为 | 反对 | non-hate | non-hate [END]
你 | 还是太年轻了，没有格局 | non-hate | non-hate [END]
自然法则 | 不允许同性恋存在 | non-hate | non-hate [END]
默 | 主动靠近...，还倒贴 | others | hate [END]
母狗 | 现实中没遇到过...，这些...在现实中太怂了，不然杀几个玩玩 | Sexism | hate [END]
清道夫 | 我真希望把这些...全部弄死 | non-hate | non-hate [END]
NULL | 非洲吧，分享过来的。 | non-hate | non-hate [END]
狗肉 | 这东西平时太罕见了吧 | non-hate | non-hate [END]
NULL | 哪有什么负重前行，都是别人在替你岁月静好😆 | non-hate | non-hate [END]
你们 | 可以远离女人啊！越远越好！ | Sexism | hate [END]
没人要的钼刃 | 都是些...在网上翻天覆地 | Sexism | hate [END]
匈奴汉国的刘渊 | 也是一个汉化之人 | non-hate | non-hate [END]
同性恋 | 何必一定要了解和欣赏...呢？ | LGBTQ | non-hate [END]
非洲 | 动物园鬼畜杂毛地方 | Racism | hate [END]
现在河南人被黑 | 和口音有很大关系。。。 | Region | non-hate [END]
大哥 | 你私信没开 | non-hate | non-hate [END]
这会中文的黑猩猩 | 在我国神马地方？？！！ | Racism | hate [END]
这 | 跟以前的管家仆人似的 | non-hate | non-hate [END]
它 | 机器人罢了，你理...它就赢了 | non-hate | non-hate [END]
猪精 | 都是这样的，吃不到性别福利只能走这条路 | others | non-hate [END]
你玩的默 | 都玩腻了 | others | hate [END]
NULL | 嫁个能发动全网媒体辟谣的男人 | non-hate | non-hate [END]
NULL | 别人问地你答天 | non-hate | non-hate [END]
网上被黑的最惨的几个地方 | 河南，东北地区，广西 | Region | non-hate [END]
同性恋 | 就是哗众取宠的小丑 | LGBTQ | hate [SEP] txl | 是个自私而且低能，说理说不过又只会无脑的谩骂的低龄心理变态人群 | LGBTQ | hate [END]
一些河南人 | 欺骗过他们😅 | Region | non-hate [END]
我 | 去过南方几乎所有的省 | non-hate | non-hate [END]
那个机器 | 到底是为了让男人体谅女人，还是为了一群智障猎奇？ | non-hate | non-hate [END]
它们 | 会有政策加分的 | non-hate | non-hate [END]
这个索玛女王 | 你可以去看看...对默的评价😆 | non-hate | non-hate [END]
我们 | 需要工会 | non-hate | non-hate [END]
你 | 比黑人还差😄 | Racism | non-hate [END]
中国人 | 在中国歧视...⁉ | non-hate | non-hate [END]
中国女性是唯一被批评的女性群体 | 这真是我见过最长的一根杆子 | non-hate | non-hate [END]
中国人 | 普遍都很小 | Racism | hate [END]
艾滋病人 | 生活中遇到真...都会自动走开 | others | hate [END]
她 | 当一定期间内的投资回报率低于一定值直接净身出户 | Sexism | non-hate [END]
成都群众 | 威武啊 | Region | non-hate [END]
他们 | 我不仅嘲笑他们，还嘲笑那些不嘲笑他们的人 | non-hate | non-hate [END]
jatoo | 其实...是多功能的 | non-hate | non-hate [END]
彩礼吧 | 为什么...没有♂?和♀?啊 | non-hate | non-hate [END]
河南人 | 可以删除 | Region | hate [END]
异性恋女生 | 腐癌是你们异性恋女生😓 | Sexism;LGBTQ | hate [END]
NULL | 每个人都有自己的思想的自由，你有支持的权利我就有反对的权利 | non-hate | non-hate [END]
一些半调子地区 | 是半调子地区啦 | Region | hate [END] [SEP] 北上广深这四个一线 | 所有外地的都觉得没他们好 | Region | hate [END]
黑男 | 跟黑男换国籍就行了 | Racism;Sexism | hate [END]
NULL | 孔子曰：耳听为虚，眼见为实！！！ | non-hate | non-hate [END]
沈阳大连 | 城市发展已经开始落后了 | Region | non-hate [END]
畒 | 被男人压在夸下摩擦了几千年，现在有的一点权力还是男人施舍的？ | Sexism | hate [END]
上海的外来人口 | 真正地域歧视最严重的反而是上海的外来人口...恶臭 | Region | hate [END]
被黑人搞过的 | 一种是人傻媚外的，不能要。一种是性瘾大喜欢大家伙的，也不能要。 | Racism;Sexism | hate [END]
男的 | 又输得一塌糊涂 | Sexism | hate [END]
女拳 | 现在泛滥了 | Sexism | hate [END]
黑蛆 | 对待黑蛆直接清空弹夹完事 | Racism | hate [END]
苏北人 | 上海人是苏南人的种而不是苏北人的 | Region | hate [END]
作者 | 支持作者传播正能量 | non-hate | non-hate [END]
男的 | 谁说只有男的会骗婚的？？ | Sexism | non-hate [END]
地域黑 | 是西方资本控制的国内某些媒体，刻意营造出来的从内部分裂、瓦解民族认同感的舆论战争！ | others | non-hate [END]
NULL | 11.和我doi | non-hate | non-hate [END]
黑黄混血 | 看到了就觉得恶心，不伦不类的😷 | Racism | hate [END]
外来务工人员 | 上海人，或者说咱们长三角人被外来务工人员黑的严重 | Region | hate [END]
NULL | 👍️ 金庸大师，诚不我欺啊 | non-hate | non-hate [END]
教会 | 藏污纳垢恶心死你. | others | hate [END]
东北人 | 其实我觉得东北还好啦 | Region | non-hate [END]
中非友谊 | 真的很“好” | Racism | non-hate [END]
蛮 | 是少数民族 | Racism | non-hate [END]
小鸡 | 宁愿小鸡守活寡🤣 也不想小鸡沾粑粑😅 | LGBTQ | hate [END]
NULL | 对于小管家来说，是没有匿名的 | non-hate | non-hate [END]
南方人 | 被地狱狗蔑称为南大人 | Region | hate [END]
中国男人 | 应该灭绝！ | Sexism | hate [END]
NULL | 现在贴吧没人看了，我们都转战抖音了 | non-hate | non-hate [END]
同性恋 | 反感同性恋 | LGBTQ | hate [END] [SEP] 小鲜肉和网红 | 莫名反感小鲜肉和网红 | others | non-hate [END]
NULL | 洛阳口音和商丘口音还有信阳口音你能分清嘛 | non-hate | non-hate [END]
年轻人们 | 可以考虑进中小企业的电子厂 | non-hate | non-hate [END]
同性恋 | 不正常是事实 | LGBTQ | hate [END]
你 | 你这种把身边当世界的人 | non-hate | non-hate [END]
天龙人 | 可不这么认为 | others | non-hate [END]
NULL | 去推特看看就知道了，♠️ | non-hate | non-hate [END]
这种人 | 如何评价这种人 | non-hate | non-hate [END]
你 | 你踏嘛的是不是觉得你的白叠就应该理所当然的在那 | non-hate | non-hate [END]
男的 | 有几个男的天天颜文字啊? | Sexism | non-hate [END]
基佬 | 真艾只属于基佬 | LGBTQ | hate [END]
国女 | 那容貌秒杀95%以上国女 | Sexism;Racism | hate [END]
倒贴找黑老丑的 | 就要被唾弃。 | Racism;Sexism | hate [END]
NULL | 生孩子真的很痛 | non-hate | non-hate [END]
NULL | 两个女生，随所有条件都一样，一个是白人一个是黄种人，你选哪个当老婆 | non-hate | non-hate [END]
狗 | 跑到反同群里面开盒，真的是狗啊 | LGBTQ | hate [END]
NULL | 好家伙反串黑是吧😓 | non-hate | non-hate [END]
NULL | 逻辑高手随便打俩字就是悖论 | non-hate | non-hate [END]
女的 | 女的啊，那没事了 | Sexism | hate [END]
你 | 那你应该去放生吧 | non-hate | non-hate [END]
上海人 | 已经躺平了 | Region | non-hate [END]
一些缺乏地理概念的人 | 在一些缺乏地理概念的人眼里，长江以北都是东北 | Region | non-hate [END]
男的 | 多事 | Sexism | hate [END]
核酸检测的挂号处那个男的 | 说话语气巨差无比 | others | non-hate [END]
分享这玩意的 | 不是纯初生 | others | hate [END]
我 | 我要当吧主 | non-hate | non-hate [END]
北方 | 女人不能上桌吃饭，封建落后 | Region;Sexism | hate [END] [SEP] 南方 | 女人不能上龙舟，你要尊重当地风俗 | Region;Sexism | hate [END]
NULL | 这两地方有优越感那都是几十年前的事了。。。。 | non-hate | non-hate [END]
NULL | 女权：我成替身了？ | non-hate | non-hate [END]
白男娶黄女 | 七层是炼铜，剩下两层是猎奇 | Racism;Sexism;others | hate [END]
女人 | 越老越贬值，越老越不能生 | Sexism | hate [END]
腐女 | 我也很反感腐女的。 | LGBTQ | hate [END]
他 | 哈哈哈网上说他是上海的 | Region | non-hate [END]
女方 | 提议女方婚前支付五年个人收入做彩礼 | Sexism | hate [END]
异性恋 | 什么时候异性恋还需要别人认可了？ | LGBTQ | non-hate [END]
努力大姐 | 还没死啊 | non-hate | non-hate [END]
同性恋 | 有什么资格给儿童定义？ | LGBTQ | hate [END]
NULL | 这昵称有点东西 | non-hate | non-hate [END]
NULL | 你可以讨厌但是去辱骂和攻击他人就是没素质 | non-hate | non-hate [END]
上海(包括苏南浙北吴语区) | 喜欢排斥江淮地区，苏北和安徽中北部 | Region | hate [END]
女人 | 比拉屎都容易，为什么不痛？ | Sexism | hate [END]
交往过黑人的女孩 | 不原意娶个交往过黑人的女孩 | Racism;Sexism | hate [END]
我 | 老子就是种族主义者 | non-hate | non-hate [END]
国女 | 急死的国女出来了。😆 | Sexism | hate [END]
你 | 你今天敢叫“女人”明天就敢叫“妇女”！ | Sexism | non-hate [END]
中国eg | 中国eg这么多🥺🥺 | Racism;Sexism | hate [END]
NULL | 原来大国气度是接盘😄 | non-hate | non-hate [END]
大** | 纯纯就是一个懦弱又自我感动的大** | Sexism | hate [END]
她们 | 等到中国遍地黑娃娃，看着就恶心，😅 | Racism;Sexism | hate [END]
蛆 | 你能在化粪池里面找一条干净的蛆？ | non-hate | non-hate [END]
广东老太太 | 谁都不虚 | Region | non-hate [END]
中国传统文化 | 就是婚嫁随男方，女性不属于原生家庭 | Sexism | non-hate [END]
安徽人 | 对安徽人只有好感 | Region | non-hate [END]
这个 | 是个恋童癖 | others | hate [END]
辽足辽篮球迷 | 干的没素质事好像更多吧 | Region | hate [END]
人造子宫 | 是为了女性不受十月怀胎，骨肉分离之苦 | Sexism | non-hate [END]
男生 | 很坏的，男生脑子里都是那点破事儿的 | Sexism | hate [END]
二次元和微博 | 都是沙軟 | others | hate [END]
NULL | 嘿嘿，一起减一起减。 | non-hate | non-hate [END]
骗婚的人 | 品有问题的人啊 | others | non-hate [END]
广西 | 不也被黑得很惨吗 | Region | non-hate [END]
跪虫族 | 让跪虫族好好看看它们虫爹 | Racism | hate [END]
通讯录 | 看不惯就把所以通讯录都杀了 | LGBTQ | hate [END]
NULL | 人家说的是生理上而不是理性。 | non-hate | non-hate [END]
东北 | 反而被天天享福的老爷 们骂 | Region | hate [END]
畒 | 厕所里畒勾叫的，还没路边蝲蝲蛄叫的好听 | Sexism | hate [END]
安徽 | 长三角现在安徽口碑比以前好多了 | Region | non-hate [END]
不分青红皂白胡乱打拳的 | 恶人自有恶人磨 | Sexism | non-hate [END]
他们 | 是被国女逼的。 | Sexism | hate [END]
基佬 | 果然是同类相食的怪物 | LGBTQ | hate [END]
混血儿 | 丑八怪的多了去了 | Racism | hate [END]
你们上海人 | 黑白完人的时候也没见你们心疼白完人啊 | Region | hate [END]
上海 | 确实排外歧视很严重啊:-| | Region | hate [END]
NULL | 这相机不错啊，对焦准，宽容度高。 | non-hate | non-hate [END]
女的 | 很多女的都敏感、多疑、热衷于勾心斗角 | Sexism | hate [END]
NULL | 贴吧要安全地发展，言论的氛围就要往理性文明的方向走 | non-hate | non-hate [END]
答主 | 是日本血统，日裔遗孤 | Racism | hate [END]
那女的 | 作态还非常低贱，太丢人了 | Sexism | hate [END]
她们 | 结婚以后一定要和老公孩子待在非洲不要回来。 | Racism;Sexism | hate [END]
国人 | 挺能忍的 | non-hate | non-hate [END]
河南人 | 每个地方都会有黑暗的，只是可能你大概率遇到了河南人 | Region | non-hate [END]
你 | 该不会是我的拳打到你了吧？ | non-hate | non-hate [END]
黑人 | 不会抱黑人 | Racism | hate [END]
它们 | 让它们多多发电 | non-hate | non-hate [END]
过男 | 基因不行，所以说过男都是下头男！ | Sexism | hate [END]
图里的有智慧的人 | 全是男性？ | Sexism | non-hate [END]
商丘，驻马店，周口，豫南三市 | 被黑的最多 | Region | hate [END]
大部分小仙女 | 她把大部分小仙女心声说了出来 | Sexism | non-hate [END]
人形畜狌 | 只有本能，除了寄声就是寝犯。 | others | hate [END]
我 | 我就是河南的 | non-hate | non-hate [END]
非洲黑人或者美洲黑人 | 使用来奸淫中国女人的那种身上的香水味道 | Racism;Sexism | hate [END]
黑人 | 五千年祖先都是灵长类动物 | Racism | hate [END]
你 | 与你有关吗？ | non-hate | non-hate [END]
黑龙江 | 怎么又是黑龙江出的事啊！ | Region | hate [END]
黑人 | 擅长音乐 | Racism | non-hate [END]
女拳 | 你们女拳就出来反抗 | Sexism | hate [END]
异性恋 | 那我说异性恋不好，被骂，是不是别人太偏激了？ | LGBTQ | non-hate [END]
你 | 中国有你这样的，真是中国的不幸 | non-hate | non-hate [END]
你 | 你真是个蒻痣 | non-hate | non-hate [END]
这种女人 | 你们公司就不该录用这种女人 | Sexism | hate [END]
NULL | 面对公开的外人评论。可谓是最公开公正了。 | non-hate | non-hate [END]
小丑 | 能出来说一说你的成分吗 | non-hate | non-hate [END]
黑人 | 咱们是物种歧视😅 | Racism | hate [END]
臭亩钩 | 这个吧里的臭亩钩聚一起能凑出个完整的月莫吗？ | Sexism | hate [END]
